Calendar Year,County,Juvenile Population,Violent Felony,Other Felony,Misd.,VOP,Status,Other CINS,Referrals,"Referral Rate/1,000",Youth Referred
2015,HANSFORD,697,1,2,0,0,0,0,3,4,3
2016,HANSFORD,704,1,0,8,1,0,0,10,14.2,10
2017,HANSFORD,701,2,6,4,0,0,0,12,17.12,12
2018,HANSFORD,687,3,0,3,0,0,0,6,9,6
2019,HANSFORD,679,1,2,0,0,0,0,3,4,3
2020,HANSFORD,672,0,0,4,0,0,0,4,6,4
2021,HANSFORD,650,0,1,3,0,0,0,4,6.153846154,4
2013,HARDEMAN,399,0,0,1,0,0,0,1,2.506265664,1
2014,HARDEMAN,408,0,0,0,0,0,0,0,0,0
2015,HARDEMAN,405,0,0,0,0,0,0,0,0,0
2016,HARDEMAN,389,0,0,0,0,0,0,0,0,0
2017,HARDEMAN,397,0,0,0,0,0,0,0,0,0
2018,HARDEMAN,383,0,0,3,0,0,0,3,8,3
2019,HARDEMAN,387,0,3,5,0,0,0,8,21,8
2020,HARDEMAN,396,1,2,5,3,0,0,11,28,9
2021,HARDEMAN,385,1,0,1,0,0,0,2,5.194805195,1
2013,HARDIN,5863,5,16,33,21,0,1,76,12.96264711,62
2014,HARDIN,5848,9,12,46,10,2,0,79,13.50889193,61
2015,HARDIN,5888,4,13,46,26,5,0,94,16,63
2016,HARDIN,5839,7,15,39,32,1,3,97,16.61,69
2017,HARDIN,5806,7,25,42,19,2,10,105,18.08,75
2018,HARDIN,5745,11,22,49,10,0,0,92,16,69
2019,HARDIN,5745,10,20,28,11,2,2,73,13,58
2020,HARDIN,5764,6,14,19,4,0,0,43,7,36
2021,HARDIN,5744,10,26,37,6,1,0,80,13.9275766,57
2013,HARRIS,441144,798,1248,5452,1152,157,158,8965,20.32216238,6364
2014,HARRIS,446522,698,1403,5083,1175,218,182,8759,19.61605475,6137
2015,HARRIS,451296,831,1362,4754,1193,244,160,8544,19,6032
2016,HARRIS,455812,822,1196,4406,1076,225,118,7843,17.21,5562
2017,HARRIS,459007,774,1094,4077,1111,160,114,7330,15.97,5207
2018,HARRIS,462518,952,1096,4531,789,167,88,7623,16,5533
2019,HARRIS,466596,937,1175,3748,999,97,69,7025,15,4683
2020,HARRIS,471059,769,860,1740,524,38,32,3963,8,2509
2021,HARRIS,477120,805,806,1553,484,39,20,3707,7.76953387,2356
2013,HARRISON,6734,8,23,118,28,7,6,190,28.21502822,138
2014,HARRISON,6815,15,30,81,36,4,0,166,24.35803375,129
2015,HARRISON,6859,13,44,91,25,21,0,194,28,138
2016,HARRISON,6956,13,40,110,17,42,3,225,32.35,153
2017,HARRISON,7021,22,49,84,19,21,0,195,27.77,149
2018,HARRISON,7054,21,19,87,14,41,4,186,26,139
2019,HARRISON,7024,11,20,73,14,26,1,145,21,115
2020,HARRISON,7083,12,16,45,2,33,2,110,16,83
2021,HARRISON,7040,12,23,38,8,15,0,96,13.63636364,84
2013,HARTLEY,551,1,0,1,0,0,0,2,3.629764065,2
2014,HARTLEY,557,1,4,3,0,0,0,8,14.36265709,7
2015,HARTLEY,566,0,1,5,1,0,1,8,14,8
2016,HARTLEY,551,1,2,1,0,0,0,4,7.26,3
2017,HARTLEY,548,2,6,7,0,0,0,15,27.37,12
2018,HARTLEY,545,1,0,4,1,0,0,6,11,6
2019,HARTLEY,530,1,0,2,0,0,0,3,6,3
2020,HARTLEY,510,0,0,10,0,1,0,11,22,11
2021,HARTLEY,487,0,0,5,0,0,0,5,10.26694045,5
2013,HASKELL,486,1,1,1,0,0,0,3,6.172839506,3
2014,HASKELL,485,0,6,3,2,0,0,11,22.68041237,9
2015,HASKELL,505,3,1,2,0,0,0,6,12,6
2016,HASKELL,488,0,3,1,0,0,0,4,8.2,4
2017,HASKELL,469,2,3,1,0,0,0,6,12.79,6
2018,HASKELL,475,0,0,2,1,0,0,3,6,3
2019,HASKELL,463,3,1,3,0,0,0,7,15,7
2020,HASKELL,450,0,1,3,0,0,0,4,9,4
2021,HASKELL,447,1,3,2,0,0,0,6,13.42281879,2
2013,HAYS,16799,39,59,278,110,61,41,588,35.00208346,388
2014,HAYS,17286,48,34,251,120,62,7,522,30.19784797,352
2015,HAYS,17722,39,67,262,116,62,22,568,32,365
2016,HAYS,18070,45,79,234,83,38,20,499,27.61,332
2017,HAYS,18310,59,99,234,76,20,13,501,27.36,354
2018,HAYS,18419,45,74,213,51,13,16,412,22,315
2019,HAYS,18584,40,126,245,37,11,13,472,25,377
2020,HAYS,18585,44,86,157,16,11,7,321,17,259
2021,HAYS,19211,45,86,141,14,9,3,298,15.51194628,257
2013,HEMPHILL,444,0,0,0,0,0,0,0,0,0
2014,HEMPHILL,461,0,0,0,1,0,0,1,2.169197397,1
2015,HEMPHILL,474,1,0,1,0,0,0,2,4,2
2016,HEMPHILL,487,0,0,5,0,0,0,5,10.27,5
2017,HEMPHILL,483,0,0,1,0,1,0,2,4.14,2
2018,HEMPHILL,498,0,1,1,0,1,0,3,6,3
2019,HEMPHILL,512,0,1,0,0,0,1,2,4,2
2020,HEMPHILL,484,3,1,4,0,1,1,10,21,9
2021,HEMPHILL,470,3,2,3,0,0,0,8,17.0212766,8
2013,HENDERSON,7219,25,35,69,15,8,11,163,22.57930461,126
2014,HENDERSON,7172,12,43,74,16,2,2,149,20.77523703,101
2015,HENDERSON,7174,14,25,53,8,2,0,102,14,89
2016,HENDERSON,7135,19,8,31,3,0,0,61,8.55,57
2017,HENDERSON,7046,19,15,39,12,1,1,87,12.35,71
2018,HENDERSON,6984,14,35,36,7,0,0,92,13,81
2019,HENDERSON,7031,13,23,34,6,2,1,79,11,67
2020,HENDERSON,6963,13,22,24,3,0,1,63,9,54
2021,HENDERSON,7015,22,43,30,5,0,0,100,14.2551675,86
2013,HIDALGO,109004,215,326,660,313,270,63,1847,16.94433232,1271
2014,HIDALGO,110375,179,319,562,429,237,25,1751,15.86409966,1200
2015,HIDALGO,112017,258,324,614,427,237,14,1874,17,1319
2016,HIDALGO,112639,224,227,556,258,245,11,1521,13.5,1063
2017,HIDALGO,112389,238,254,563,245,179,8,1487,13.23,1024
2018,HIDALGO,111501,224,254,668,198,139,10,1493,13,1098
2019,HIDALGO,110621,214,343,809,166,209,21,1762,16,1341
2020,HIDALGO,109867,160,234,386,99,87,3,969,9,750
2021,HIDALGO,110073,169,215,441,83,119,4,1031,9.366511315,796
2013,HILL,3474,8,15,19,25,6,12,85,24.46747265,63
2014,HILL,3416,8,7,19,17,4,15,70,20.49180328,42
2015,HILL,3411,2,12,13,35,7,2,71,21,44
2016,HILL,3422,7,14,19,21,4,2,67,19.58,50
2017,HILL,3406,11,10,27,28,4,3,83,24.37,47
2018,HILL,3397,5,9,20,27,0,7,68,20,50
2019,HILL,3336,8,11,20,18,4,2,63,19,44
2020,HILL,3350,10,16,9,11,3,1,50,15,42
2021,HILL,3366,2,6,19,14,4,0,45,13.36898396,36
2013,HOCKLEY,2421,9,13,25,12,12,9,80,33.04419661,71
2014,HOCKLEY,2430,11,13,27,13,28,1,93,38.27160494,74
2015,HOCKLEY,2472,11,3,40,14,24,0,92,37,83
2016,HOCKLEY,2462,4,10,14,11,6,2,47,19.09,43
2017,HOCKLEY,2456,3,6,15,9,1,1,35,14.25,33
2018,HOCKLEY,2474,7,5,8,10,1,0,31,13,24
2019,HOCKLEY,2490,0,1,5,6,0,0,12,5,12
2020,HOCKLEY,2452,1,6,14,1,3,0,25,10,22
2021,HOCKLEY,2470,2,9,7,4,0,0,22,8.906882591,18
2013,HOOD,4373,3,11,46,26,1,0,87,19.89480906,70
2014,HOOD,4374,10,9,34,15,4,2,74,16.91815272,61
2015,HOOD,4378,7,15,36,17,21,2,98,22,82
2016,HOOD,4409,14,19,58,15,9,0,115,26.08,90
2017,HOOD,4398,13,23,53,47,13,0,149,33.88,104
2018,HOOD,4456,16,13,31,36,15,0,111,25,81
2019,HOOD,4473,9,15,41,29,12,0,106,24,77
2020,HOOD,4427,7,21,22,26,4,2,82,19,57
2021,HOOD,4423,12,21,26,21,6,0,86,19.44381641,68
2013,HOPKINS,3516,6,13,30,18,83,4,154,43.79977247,106
2014,HOPKINS,3567,10,14,20,39,83,1,167,46.81805439,117
2015,HOPKINS,3583,11,8,30,17,46,1,113,32,85
2016,HOPKINS,3594,6,22,17,8,2,0,55,15.3,38
2017,HOPKINS,3632,6,8,22,4,2,0,42,11.56,36
2018,HOPKINS,3593,4,17,15,3,0,0,39,11,31
2019,HOPKINS,3595,3,15,22,7,1,0,48,13,44
2020,HOPKINS,3617,4,18,16,4,0,0,42,12,36
2021,HOPKINS,3585,11,21,15,2,0,0,49,13.66806137,43
2013,HOUSTON,1780,2,3,18,2,0,1,26,14.60674157,26
2014,HOUSTON,1806,7,9,8,3,0,4,31,17.16500554,29
2015,HOUSTON,1798,8,0,19,4,0,1,32,18,27
2016,HOUSTON,1834,2,8,13,2,0,0,25,13.63,25
2017,HOUSTON,1856,3,7,19,1,0,0,30,16.16,25
2018,HOUSTON,1847,5,18,13,5,0,1,42,23,26
2019,HOUSTON,1890,4,13,7,3,0,1,28,15,25
2020,HOUSTON,1918,5,4,11,2,0,0,22,11,20
2021,HOUSTON,1916,4,11,10,2,1,0,28,14.61377871,20
2013,HOWARD,2962,9,21,52,52,6,0,140,47.26536124,84
2014,HOWARD,3005,5,25,72,50,19,4,175,58.23627288,111
2015,HOWARD,3017,9,20,32,43,27,0,131,43,80
2016,HOWARD,3072,4,24,36,22,27,3,116,37.76,75
2017,HOWARD,3124,10,9,31,11,22,4,87,27.85,69
2018,HOWARD,3112,1,24,38,21,20,1,105,34,73
2019,HOWARD,3102,12,28,31,11,17,0,99,32,82
2020,HOWARD,3131,14,34,19,5,18,1,91,29,68
2021,HOWARD,3179,10,24,30,1,20,2,87,27.36709657,71
2013,HUDSPETH,400,0,1,2,0,0,0,3,7.5,3
2014,HUDSPETH,396,1,0,0,0,0,0,1,2.525252525,1
2015,HUDSPETH,408,0,0,0,0,0,0,0,0,0
2016,HUDSPETH,388,1,0,0,0,0,0,1,2.58,1
2017,HUDSPETH,375,0,0,0,0,0,0,0,0,0
2018,HUDSPETH,373,0,0,0,0,0,0,0,0,0
2019,HUDSPETH,363,0,1,0,0,0,0,1,3,1
2020,HUDSPETH,357,0,0,0,0,0,0,0,0,0
2021,HUDSPETH,339,0,0,0,0,0,0,0,0,0
2013,HUNT,8929,55,32,115,48,1,9,260,29.11860231,194
2014,HUNT,9031,38,25,102,47,0,0,212,23.47469826,158
2015,HUNT,9093,38,31,85,31,2,6,193,21,147
2016,HUNT,9214,27,16,77,26,1,0,147,15.95,127
2017,HUNT,9251,19,21,45,31,1,4,121,13.08,102
2018,HUNT,9327,26,16,85,18,2,0,147,16,126
2019,HUNT,9258,13,17,72,14,1,0,117,13,104
2020,HUNT,9212,19,17,31,7,2,0,76,8,65
2021,HUNT,9165,19,29,52,9,0,0,109,11.89307147,92
2013,HUTCHINSON,2254,12,7,35,17,13,2,86,38.15439219,54
2014,HUTCHINSON,2225,4,10,52,19,4,0,89,40,63
2015,HUTCHINSON,2268,4,11,21,8,11,1,56,25,44
2016,HUTCHINSON,2239,5,7,23,10,8,1,54,24.12,43
2017,HUTCHINSON,2226,6,13,21,19,15,0,74,33.24,48
2018,HUTCHINSON,2255,6,5,18,15,5,1,50,22,39
2019,HUTCHINSON,2267,6,8,26,6,5,2,53,23,42
2020,HUTCHINSON,2266,6,15,22,7,10,1,61,27,47
2021,HUTCHINSON,2272,11,7,26,0,8,0,52,22.88732394,39
2013,IRION,148,0,2,0,0,0,0,2,13.51351351,2
2014,IRION,138,0,7,1,0,0,0,8,57.97101449,8
2015,IRION,135,0,0,0,0,0,0,0,0,0
2016,IRION,126,0,0,0,0,0,0,0,0,0
2017,IRION,112,0,4,3,0,0,0,7,62.5,7
2018,IRION,114,0,0,0,0,0,0,0,0,0
2019,IRION,105,0,0,2,0,0,0,2,19,2
2020,IRION,102,0,0,0,0,0,0,0,0,0
2021,IRION,94,0,4,0,0,0,0,4,42.55319149,4
2013,JACK,833,2,5,11,1,0,0,19,22.80912365,16
2014,JACK,808,0,1,5,0,0,0,6,7.425742574,4
2015,JACK,790,0,0,2,0,0,0,2,3,2
2016,JACK,769,2,5,2,0,0,0,9,11.7,8
2017,JACK,738,2,1,4,1,0,0,8,10.84,6
2018,JACK,720,1,2,5,4,0,0,12,17,9
2019,JACK,709,2,3,4,3,0,0,12,17,6
2020,JACK,700,1,1,1,0,0,0,3,4,3
2021,JACK,696,1,0,0,0,0,0,1,1.436781609,1
2013,JACKSON,1384,2,12,33,11,3,0,61,44.07514451,37
2014,JACKSON,1360,3,8,34,8,1,0,54,39.70588235,39
2015,JACKSON,1340,3,10,18,0,1,1,33,25,26
2016,JACKSON,1390,1,9,14,4,0,1,29,20.86,20
2017,JACKSON,1368,3,8,20,1,0,1,33,24.12,26
2018,JACKSON,1368,3,23,50,2,1,3,82,60,51
2019,JACKSON,1391,5,10,29,10,1,1,56,40,34
2020,JACKSON,1409,3,14,12,1,0,0,30,21,18
2021,JACKSON,1397,5,14,10,5,0,0,34,24.33786686,26
2013,JASPER,3348,4,18,24,6,0,0,52,15.53166069,44
2014,JASPER,3380,8,15,28,3,0,0,54,15.97633136,42
2015,JASPER,3462,4,14,14,9,0,1,42,12,37
2016,JASPER,3481,4,16,27,4,0,0,51,14.65,33
2017,JASPER,3507,6,13,18,8,0,0,45,12.83,35
2018,JASPER,3499,7,23,33,1,0,0,64,18,54
2019,JASPER,3497,6,14,42,5,0,2,69,20,48
2020,JASPER,3532,3,7,11,6,0,0,27,8,25
2021,JASPER,3461,5,15,5,4,0,1,30,8.668015025,22
2013,JEFF DAVIS,157,0,0,0,0,0,0,0,0,0
2014,JEFF DAVIS,158,0,0,0,0,0,0,0,0,0
2015,JEFF DAVIS,155,0,0,2,0,0,0,2,13,2
2016,JEFF DAVIS,148,0,0,0,2,0,0,2,13.51,1
2017,JEFF DAVIS,145,0,1,2,0,0,0,3,20.69,3
2018,JEFF DAVIS,142,0,0,0,0,0,0,0,0,0
2019,JEFF DAVIS,136,0,0,0,0,0,0,0,0,0
2020,JEFF DAVIS,130,0,0,0,0,0,0,0,0,0
2021,JEFF DAVIS,124,0,0,0,0,0,0,0,0,0
2013,JEFFERSON,22971,83,92,288,186,65,6,720,31.34386836,453
2014,JEFFERSON,22896,77,77,278,214,55,0,701,30.61670161,395
2015,JEFFERSON,23049,66,81,297,235,45,6,730,32,424
2016,JEFFERSON,23195,79,80,242,180,34,3,618,26.64,378
2017,JEFFERSON,23451,60,76,206,118,42,1,503,21.45,328
2018,JEFFERSON,23664,48,61,177,122,28,0,436,18,253
2019,JEFFERSON,24044,42,83,179,92,52,0,448,19,289
2020,JEFFERSON,24325,44,48,105,53,21,0,271,11,200
2021,JEFFERSON,24749,56,64,104,24,28,0,276,11.15196574,200
2013,JIM HOGG,584,2,2,6,0,43,6,59,101.0273973,54
2014,JIM HOGG,593,1,1,4,0,6,0,12,20.23608769,12
2015,JIM HOGG,581,1,1,6,3,7,3,21,36,18
2016,JIM HOGG,589,4,1,9,2,0,0,16,27.16,12
2017,JIM HOGG,593,2,1,16,0,0,0,19,32.04,16
2018,JIM HOGG,627,0,0,5,0,0,4,9,14,6
2019,JIM HOGG,622,0,0,1,0,0,0,1,2,1
2020,JIM HOGG,617,0,0,0,0,0,0,0,0,0
2021,JIM HOGG,604,0,0,0,0,0,0,0,0,0
2013,JIM WELLS,4516,14,25,103,0,42,30,214,47.3870682,159
2014,JIM WELLS,4461,24,17,119,2,29,9,200,44.83299709,151
2015,JIM WELLS,4408,26,20,104,1,12,1,164,37,127
2016,JIM WELLS,4379,18,21,89,0,3,6,137,31.29,119
2017,JIM WELLS,4370,22,28,99,0,2,6,157,35.93,121
2018,JIM WELLS,4439,34,41,102,0,2,6,185,42,141
2019,JIM WELLS,4470,30,56,149,0,1,6,242,54,166
2020,JIM WELLS,4500,14,23,53,0,2,4,96,21,79
2021,JIM WELLS,4656,19,41,88,0,2,1,151,32.43127148,117
2013,JOHNSON,17082,25,54,163,59,12,8,321,18.79171057,253
2014,JOHNSON,17229,33,53,149,27,10,3,275,15.96146033,235
2015,JOHNSON,17365,27,43,119,30,10,4,233,13,201
2016,JOHNSON,17505,30,53,104,31,9,3,230,13.14,177
2017,JOHNSON,17543,27,54,90,21,10,2,204,11.63,162
2018,JOHNSON,17475,37,58,109,34,7,1,246,14,196
2019,JOHNSON,17504,33,62,81,43,6,0,225,13,172
2020,JOHNSON,17447,29,53,76,18,1,0,177,10,144
2021,JOHNSON,17345,38,66,82,21,4,0,211,12.16488902,172
2013,JONES,1525,2,12,10,7,1,0,32,20.98360656,26
2014,JONES,1526,1,18,8,0,0,0,27,17.69331586,23
2015,JONES,1533,4,4,6,4,0,0,18,12,14
2016,JONES,1521,1,9,9,3,0,0,22,14.46,19
2017,JONES,1500,5,5,5,4,0,0,19,12.67,17
2018,JONES,1478,1,2,5,1,0,0,9,6,9
2019,JONES,1474,2,2,9,0,1,0,14,10,11
2020,JONES,1472,0,3,1,0,2,0,6,4,5
2021,JONES,1448,5,0,3,0,0,0,8,5.524861878,8
2013,KARNES,1164,7,8,15,2,3,1,36,30.92783505,35
2014,KARNES,1149,2,8,23,0,12,10,55,47.86771105,47
2015,KARNES,1134,2,1,8,3,8,1,23,20,21
2016,KARNES,1153,5,5,23,12,2,12,59,51.17,34
2017,KARNES,1157,5,8,11,9,0,8,41,35.44,33
2018,KARNES,1140,2,2,18,3,2,11,38,33,34
2019,KARNES,1146,1,4,7,1,0,11,24,21,20
2020,KARNES,1130,5,2,8,0,0,2,17,15,17
2021,KARNES,1110,2,1,4,3,1,10,21,18.91891892,18
2013,KAUFMAN,12996,16,39,105,21,0,0,181,13.92736227,157
2014,KAUFMAN,13264,16,38,88,26,0,0,168,12.66586248,134
2015,KAUFMAN,13456,27,18,72,24,0,0,141,10,109
2016,KAUFMAN,13706,28,32,82,16,0,0,158,11.53,128
2017,KAUFMAN,13806,26,42,66,26,0,0,160,11.59,128
2018,KAUFMAN,13808,28,29,82,9,0,0,148,11,120
2019,KAUFMAN,13701,31,53,86,12,0,1,183,13,169
2020,KAUFMAN,13584,29,49,77,3,0,0,158,12,147
2021,KAUFMAN,13430,30,71,97,6,0,1,205,15.26433358,184
2013,KENDALL,3650,3,15,57,0,3,1,79,21.64383562,69
2014,KENDALL,3631,4,11,34,2,0,0,51,14.04571743,39
2015,KENDALL,3624,1,8,30,1,1,0,41,11,37
2016,KENDALL,3575,4,11,39,0,0,1,55,15.38,42
2017,KENDALL,3448,7,8,31,0,0,0,46,13.34,41
2018,KENDALL,3366,8,8,43,0,0,0,59,18,54
2019,KENDALL,3251,5,15,28,0,0,0,48,15,44
2020,KENDALL,3173,3,12,20,0,0,0,35,11,34
2021,KENDALL,3098,8,15,22,0,0,0,45,14.52550032,43
2013,KENEDY,41,0,1,0,0,0,0,1,24.3902439,1
2014,KENEDY,37,0,1,0,0,0,0,1,27.02702703,1
2015,KENEDY,34,0,0,0,0,0,0,0,0,0
2016,KENEDY,30,1,0,0,0,0,0,1,33.33,1
2017,KENEDY,28,0,0,1,0,0,0,1,35.71,1
2018,KENEDY,28,0,0,0,0,0,0,0,0,0
2019,KENEDY,29,0,0,0,0,0,0,0,0,0
2020,KENEDY,34,0,0,0,0,0,0,0,0,0
2021,KENEDY,37,0,0,0,0,0,0,0,0,0
2013,KENT,80,0,0,0,0,0,0,0,0,0
2014,KENT,81,0,0,0,0,0,0,0,0,0
2015,KENT,78,0,0,0,0,0,0,0,0,0
2016,KENT,75,0,0,0,0,0,0,0,0,0
2017,KENT,70,0,0,0,0,0,0,0,0,0
2018,KENT,66,0,0,0,0,0,0,0,0,0
2019,KENT,58,0,0,0,0,0,0,0,0,0
2020,KENT,58,0,0,0,0,0,0,0,0,0
2021,KENT,52,0,0,0,0,0,0,0,0,0
2013,KERR,4004,13,24,89,51,8,0,185,46.2037962,128
2014,KERR,4014,6,18,74,53,14,0,165,41.10612855,108
2015,KERR,4027,10,18,63,56,28,2,177,44,106
2016,KERR,4015,8,16,43,27,4,0,98,24.41,74
2017,KERR,3988,5,10,40,33,4,0,92,23.07,58
2018,KERR,3958,5,18,33,29,10,0,95,24,77
2019,KERR,3915,3,13,25,28,5,1,75,19,48
2020,KERR,3906,5,10,32,24,4,1,76,19,52
2021,KERR,3952,5,21,35,20,6,1,88,22.26720648,64
2013,KIMBLE,390,0,0,1,1,0,0,2,5.128205128,1
2014,KIMBLE,373,0,0,6,0,0,0,6,16.08579088,6
2015,KIMBLE,353,0,7,8,1,0,0,16,45,15
2016,KIMBLE,347,0,5,1,0,0,0,6,17.29,6
2017,KIMBLE,346,0,6,1,3,0,0,10,28.9,10
2018,KIMBLE,352,0,2,6,0,2,0,10,28,10
2019,KIMBLE,326,0,6,4,0,0,0,10,31,9
2020,KIMBLE,315,0,0,0,1,0,0,1,3,1
2021,KIMBLE,325,3,0,1,0,0,0,4,12.30769231,4
2013,KING,33,0,0,0,0,0,0,0,0,0
2014,KING,33,0,0,0,0,0,0,0,0,0
2015,KING,27,0,0,0,0,0,0,0,0,0
2016,KING,26,0,0,0,0,0,0,0,0,0
2017,KING,23,0,0,0,0,0,0,0,0,0
2018,KING,22,0,0,0,0,0,0,0,0,0
2019,KING,20,0,0,0,0,0,0,0,0,0
2020,KING,17,0,0,0,0,0,0,0,0,0
2021,KING,15,0,0,0,0,0,0,0,0,0
2013,KINNEY,272,0,0,1,2,0,0,3,11.02941176,2
2014,KINNEY,255,1,0,0,0,0,0,1,3.921568627,1
2015,KINNEY,230,0,0,0,0,0,0,0,0,0
2016,KINNEY,240,0,0,0,0,0,0,0,0,0
2017,KINNEY,243,1,1,4,0,0,0,6,24.69,5
2018,KINNEY,240,0,2,0,0,0,0,2,8,2
2019,KINNEY,248,0,0,1,0,0,0,1,4,1
2020,KINNEY,249,0,1,1,0,0,0,2,8,2
2021,KINNEY,248,0,9,0,0,0,0,9,36.29032258,9
2013,KLEBERG,3000,7,8,30,1,3,0,49,16.33333333,41
2014,KLEBERG,3066,13,8,35,1,7,0,64,20.87410307,59
2015,KLEBERG,3100,14,11,66,2,17,0,110,35,88
2016,KLEBERG,3159,4,6,44,0,10,0,64,20.26,58
2017,KLEBERG,3215,19,4,49,1,10,1,84,26.13,67
2018,KLEBERG,3301,13,22,57,2,19,0,113,34,79
2019,KLEBERG,3325,16,18,56,1,26,2,119,36,81
2020,KLEBERG,3384,11,25,50,2,24,0,112,33,81
2021,KLEBERG,3451,11,20,50,7,30,0,118,34.19298754,70
2013,KNOX,359,0,0,0,0,0,0,0,0,0
2014,KNOX,358,0,0,0,0,0,0,0,0,0
2015,KNOX,377,0,0,4,0,0,0,4,11,4
2016,KNOX,361,0,0,1,0,0,0,1,2.77,1
2017,KNOX,364,0,0,0,0,0,0,0,0,0
2018,KNOX,367,1,3,2,0,0,0,6,16,6
2019,KNOX,368,0,0,0,0,0,0,0,0,0
2020,KNOX,379,0,1,0,0,0,0,1,3,1
2021,KNOX,385,0,1,0,0,0,0,1,2.597402597,1
2013,LAMAR,4763,8,20,61,6,1,0,96,20.15536427,77
2014,LAMAR,4689,6,10,35,8,5,0,64,13.64896566,49
2015,LAMAR,4708,5,15,20,9,2,0,51,11,37
2016,LAMAR,4677,8,10,26,11,0,0,55,11.76,37
2017,LAMAR,4649,11,19,29,11,0,1,71,15.27,51
2018,LAMAR,4625,3,20,24,2,0,0,49,11,39
2019,LAMAR,4710,12,15,34,5,0,0,66,14,49
2020,LAMAR,4718,6,7,15,1,0,0,29,6,27
2021,LAMAR,4777,9,20,11,5,0,0,45,9.420138162,37
2013,LAMB,1574,9,17,13,4,1,0,44,27.95425667,33
2014,LAMB,1565,3,8,12,3,2,1,29,18.53035144,24
2015,LAMB,1569,4,22,21,7,0,0,54,34,38
2016,LAMB,1564,1,8,9,4,0,0,22,14.07,19
2017,LAMB,1564,5,9,9,1,0,0,24,15.35,21
2018,LAMB,1559,0,2,11,1,1,0,15,10,14
2019,LAMB,1549,2,11,7,0,0,0,20,13,19
2020,LAMB,1562,1,5,6,0,0,0,12,8,11
2021,LAMB,1561,6,6,3,0,0,0,15,9.609224856,15
2013,LAMPASAS,1942,6,14,43,1,0,0,64,32.95571576,51
2014,LAMPASAS,1882,4,9,44,3,3,0,63,33.47502657,54
2015,LAMPASAS,1888,7,10,18,5,5,0,45,24,42
2016,LAMPASAS,1878,2,4,31,3,0,0,40,21.3,33
2017,LAMPASAS,1880,2,6,18,2,0,0,28,14.89,23
2018,LAMPASAS,1884,4,10,30,3,2,0,49,26,40
2019,LAMPASAS,1890,5,12,23,1,0,0,41,22,38
2020,LAMPASAS,1864,1,7,12,0,0,0,20,11,20
2021,LAMPASAS,1873,4,21,20,0,0,0,45,24.02562734,40
2013,LASALLE,571,0,0,17,1,10,0,28,49.03677758,23
2014,LASALLE,566,3,0,10,1,1,0,15,26.50176678,13
2015,LASALLE,567,0,2,11,0,2,0,15,26,13
2016,LASALLE,554,4,6,12,1,1,0,24,43.32,21
2017,LASALLE,541,1,0,3,0,4,0,8,14.79,7
2018,LASALLE,549,0,0,6,0,0,0,6,11,6
2019,LASALLE,554,1,5,4,0,2,0,12,22,12
2020,LASALLE,562,0,3,7,0,0,0,10,18,10
2021,LASALLE,570,0,4,1,0,2,0,7,12.28070175,7
2013,LAVACA,1695,2,17,10,9,4,2,44,25.95870206,27
2014,LAVACA,1691,3,4,18,8,2,0,35,20.69781195,28
2015,LAVACA,1705,0,11,7,7,0,1,26,15,17
2016,LAVACA,1709,4,4,11,5,1,0,25,14.63,20
2017,LAVACA,1750,2,6,23,10,0,0,41,23.43,37
2018,LAVACA,1761,5,2,9,10,0,0,26,15,20
2019,LAVACA,1732,4,1,15,1,0,1,22,13,21
2020,LAVACA,1729,0,9,6,1,2,0,18,10,16
2021,LAVACA,1670,4,4,8,2,1,0,19,11.37724551,18
2013,LEE,1658,0,5,9,1,3,0,18,10.85645356,16
2014,LEE,1645,1,4,22,1,7,0,35,21.27659574,32
2015,LEE,1634,2,7,9,0,2,1,21,13,20
2016,LEE,1606,4,7,10,0,0,0,21,13.08,18
2017,LEE,1597,4,5,4,2,3,2,20,12.52,18
2018,LEE,1574,0,2,3,0,4,3,12,8,12
2019,LEE,1572,3,7,4,0,3,1,18,11,15
2020,LEE,1569,2,4,4,2,3,0,15,10,12
2021,LEE,1526,0,3,12,0,0,0,15,9.829619921,15
2013,LEON,1498,0,0,10,0,1,0,11,7.343124166,10
2014,LEON,1500,2,6,7,0,1,0,16,10.66666667,15
2015,LEON,1486,1,3,8,2,0,0,14,9,11
2016,LEON,1498,5,5,9,5,3,1,28,18.69,22
2017,LEON,1509,2,4,9,1,2,0,18,11.93,12
2018,LEON,1513,6,4,9,2,0,1,22,15,17
2019,LEON,1493,3,5,4,1,2,0,15,10,13
2020,LEON,1518,2,1,1,0,0,0,4,3,4
2021,LEON,1536,1,4,4,0,0,0,9,5.859375,7
2013,LIBERTY,7791,10,16,35,0,0,0,61,7.829546913,59
2014,LIBERTY,7834,16,14,70,1,0,0,101,12.89251979,96
2015,LIBERTY,7825,12,12,30,3,0,0,57,7,48
2016,LIBERTY,7815,9,4,48,0,0,0,61,7.81,57
2017,LIBERTY,7846,20,18,71,1,0,1,111,14.15,89
2018,LIBERTY,7859,13,16,40,0,0,0,69,9,63
2019,LIBERTY,8022,10,16,35,0,0,0,61,8,57
2020,LIBERTY,8069,9,10,15,0,0,0,34,4,33
2021,LIBERTY,8115,10,52,30,0,0,0,92,11.33703019,82
2013,LIMESTONE,2147,5,12,22,10,0,1,50,23.28830927,37
2014,LIMESTONE,2129,4,11,22,17,2,1,57,26.77313293,44
